Last,First,Minutes,Seconds,Goals,Shots,AttackingGoals,AttackingShots,CenterGoals,CenterShots,DriveGoals,DriveShots,ExtraGoals,ExtraShots,PenaltyGoals,PenaltyShots,CounterGoals,CounterShots,FoulGoals,FoulShots,TO,ST,RB,BL,AS,SPWins,SPAttempts,CPEX,FPEX,DSEX,M6EX,CSEX,DBEX,PEX,EXPLUS,TotalEX,Team,Opponent,Result,FullTimeGoals,Ref1,Ref2,MatchNum,Tournament,GameNum,FullName
SAUDADIER,Remi,8.0,44.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,SAUDADIER R.
CROUSILLAT,Ugo,31.0,37.0,1.0,5.0,0.0,2.0,0.0,0.0,,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,CROUSILLAT U.
BOUET,Alexandre,22.0,43.0,2.0,4.0,0.0,2.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,BOUET A.
KHASZ,Enzo,24.0,42.0,1.0,3.0,0.0,2.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,2.0,DNT,DNT,DNT,0.0,0.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,KHASZ E.
VERNOUX,Thomas,27.0,17.0,3.0,7.0,0.0,2.0,0.0,0.0,,,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,VERNOUX T.
MARION-VERNOUX,Romain,4.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,DNT,DNT,DNT,0.0,1.0,S,3,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MARION-VERNOUX R.
BJORCH,Emil,14.0,56.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,BJORCH E.
MARZOUKI,Mehdi,4.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,DNT,DNT,DNT,0.0,0.0,S,3,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MARZOUKI M.
BODEGAS,Michael,23.0,32.0,1.0,3.0,0.0,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,1.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,BODEGAS M.
VANPEPERSTRAETE,P.,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,VANPEPERSTRAETE P.
ZIVKOVIC,Duje,11.0,5.0,1.0,4.0,0.0,3.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,ZIVKOVIC D.
FONTANI,Hugo,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,FONTANI H.
MANDIC,Dusan,15.0,36.0,4.0,5.0,0.0,1.0,0.0,0.0,,,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,1.0,0,1,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MANDIC D.
RASOVIC,Strahinja,24.0,39.0,0.0,3.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,RASOVIC S.
RANDELOVIC,Sava,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,0.0,0,2,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,RANDELOVIC S.
MILOJEVIC,Vuk,15.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MILOJEVIC V.
RADULOVIC,Marko,22.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,RADULOVIC M.
DRASOVIC,Radomir,17.0,47.0,4.0,4.0,1.0,1.0,0.0,0.0,,,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,0.0,0,2,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,DRASOVIC R.
JAKSIC,Nikola,24.0,57.0,3.0,5.0,0.0,1.0,0.0,0.0,,,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,DNT,DNT,DNT,0.0,0.0,0,2,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,JAKSIC N.
VICO,Nemanja,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,VICO N.
UBOVIC,Nemanja,18.0,25.0,1.0,3.0,0.0,0.0,0.0,1.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,UBOVIC N.
JAKSIC,Petar,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,DNT,DNT,DNT,0.0,0.0,S,3,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,JAKSIC P.
RASOVIC,Viktor,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0,2,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,RASOVIC V.
MITROVIC,Branislav,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,SRB,FRA,1.0,14.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MITROVIC B.
GENIDOUNIAS,Konstantinos,22.0,14.0,4.0,5.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,1.0,0,1,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,GENIDOUNIAS K.
SKOUMPAKIS,Dimitrios,13.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,1.0,S,3,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,SKOUMPAKIS D.
KALOGEROPOULOS,Efstathios,23.0,50.0,2.0,2.0,1.0,1.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,1.0,1.0,2.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,KALOGEROPOULOS E.
FOUNTOULIS,Ioannis,21.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,2.0,1.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,FOUNTOULIS I.
PAPANASTASIOU,Alexandros,22.0,29.0,0.0,3.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,1.0,0.0,0,1,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,PAPANASTASIOU A.
DERVISIS,Georgios,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,DERVISIS G.
ARGYROPOULOS KANAKAK,Stylianos,22.0,13.0,2.0,3.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,2.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,1.0,0,2,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,ARGYROPOULOS S.
ALAFRAGKIS,Ioannis,14.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,0.0,0,2,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,ALAFRAGKIS I.
KAKARIS,Konstantinos,13.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,KAKARIS K.
NIKOLAIDIS,Dimitrios,10.0,53.0,2.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,NIKOLAIDIS D.
GKILLAS,Nikolaos,22.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,1.0,DNT,DNT,DNT,0.0,0.0,0,1,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,GKILLAS N.
TZORTZATOS,Panagiotis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,GRE,MNE,1.0,15.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,TZORTZATOS P.
BRGULJAN,Drasko,18.0,56.0,1.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,0,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,BRGULJAN D.
PERKOVIC,Miroslav,16.0,16.0,1.0,2.0,0.0,0.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0.0,2,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,PERKOVIC M.
AVERKA,Kanstantsin,21.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,3.0,3.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,0,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,AVERKA K.
MACIC,Aljosa,8.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,1.0,0.0,2,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,MACIC A.
POPADIC,Vlado,19.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,0,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,POPADIC V.
MRSIC,Marko,13.0,56.0,2.0,5.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,1,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,MRSIC M.
RADOVIC,Duro,17.0,35.0,1.0,4.0,0.0,0.0,0.0,0.0,,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,0,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,RADOVIC D.
UKROPINA,Aleksa,17.0,25.0,2.0,9.0,0.0,1.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,0,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,UKROPINA A.
VUJOVIC,Jovan,16.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,1,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,VUJOVIC J.
MATKOVIC,Dusan,17.0,14.0,0.0,2.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,1.0,0.0,0.0,2,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,MATKOVIC D.
RADOVIC,Vasilije,21.0,40.0,1.0,2.0,0.0,1.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,1.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,1.0,0.0,2,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,RADOVIC V.
TESANOVIC,Petar,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0.0,0,MNE,GRE,0.0,10.0,KOVACS-CSATLOS,SEGURANA FERRE,46,EC2024,EC2024-46,TESANOVIC P.
TATRAI,David Marcell,26.0,16.0,2.0,6.0,1.0,1.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,TATRAI D.
MOLNAR,Erik,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,0.0,0,2,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,MOLNAR E.
POHL,Zoltan,7.0,55.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,1.0,S,3,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,POHL Z.
VIGVARI,Vince,23.0,50.0,3.0,8.0,1.0,1.0,0.0,1.0,,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,VIGVARI V.
NAGY,Adam,29.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0,2,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,NAGY A.
VARGA,Vince,21.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,VARGA V.
BURIAN,Gergely,17.0,35.0,1.0,3.0,0.0,1.0,0.0,0.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,DNT,DNT,DNT,0.0,0.0,0,1,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,BURIAN G.
KOVACS,Peter,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,KOVACS P.
VIGVARI,Vendel,15.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,VIGVARI V.
VISMEG,Zsombor,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,VISMEG Z.
HARAI,Balazs,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,HARAI B.
GYAPJAS,Viktor,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,HUN,ITA,0.0,7.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,GYAPJAS V.
DI FULVIO,Francesco,29.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,0.0,1.0,2.0,2.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,DI FULVIO F.
CONDEMI,Francesco,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,CONDEMI F.
MARZIALI,Luca,7.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,MARZIALI L.
FONDELLI,Andrea,17.0,40.0,3.0,3.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,0.0,0,2,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,FONDELLI A.
CANNELLA,Giacomo,19.0,19.0,2.0,4.0,1.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,CANNELLA G.
RENZUTO IODICE,Vincenzo,11.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,3.0,0.0,DNT,DNT,DNT,0.0,0.0,S,3,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,RENZUTO IODICE V.
ECHENIQUE,Oscar Gonzalo,20.0,36.0,3.0,5.0,2.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,ECHENIQUE G.
PRESCIUTTI,Nicholas,14.0,49.0,1.0,5.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,DNT,DNT,DNT,0.0,0.0,0,2,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,PRESCIUTTI N.
BRUNI,Lorenzo,11.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,ITA,HUN,1.0,12.0,ALEXANDRESCU,PUTNIKOVIC,47,EC2024,EC2024-47,BRUNI L.
